anno,accessi_residenti_comune_prato,popolazione_comune_prato,tasso_x1000_comune,accessi_residenti_zona_pratese,tasso_x1000_zona
2010,57956,186798,"31,0",74111,"29,9"
2011,64147,188011,"34,1",82898,"33,2"
2012,65572,184885,"35,5",84009,"34,2"
2013,66567,187159,"35,6",85351,"34,4"
2014,69658,191268,"36,4",89934,"35,5"
2015,71289,191002,"37,3",92567,"36,6"
2016,72486,191150,"37,9",93454,"36,9"
2017,63038,192469,"32,8",82009,"32,2"
2018,70165,193325,"36,3",91145,"35,6"
2019,71281,194590,"36,6",92301,"35,8"
2020,45980,194223,"23,7",59874,"23,3"
2021,50604,201410,"25,1",65996,"24,9"
2022,59280,195213,"30,4",77353,"30,0"
2023,63402,196317,"32,3",82509,"31,8"
2024,63925,197088,"32,4",83802,"32,2"
2025,65442,197057,"33,2",85843,"33,1"
